brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Flagyl 400,Metronidazole,Metronidazole,Amebiasis; Giardiasis,Metallic taste; Nausea,32.0,Sanofi,Avoid alcohol completely,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Multivitamin Tablet,Mixed Vitamins & Minerals,Multivitamin,General health and nutrition,Rare allergic reactions,45.0,Generic,Take with food,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Montelukast 10,Montelukast,Montelukast,Asthma and allergies,Headache; Mood changes,85.0,Generic,Evening dose recommended,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Montair 10,Montelukast,Montelukast,Asthma and allergies,Stomach pain; Diarrhea,92.0,Cipla,Not for acute asthma attacks,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Singulair 10,Montelukast,Montelukast,Asthma and allergies,Fatigue; Dizziness,165.0,Merck,Regular respiratory monitoring,10 IU,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,मोंटेलुकास्ट
Levmont Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Montair-LC,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis and asthma,Headache; Drowsiness,165.0,Cipla,Evening dose recommended,Unknown,Tablet,False,H,adult,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,
Montair-LC Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Montelast-LC Kid Syrup,Montelukast + Levocetirizine,Montelukast + Levocetirizine,Allergic rhinitis (pediatric),Drowsiness; Headache,165.0,Cipla,Evening dose preferred,4 mg/2.5 mg per 5 ml,Syrup,False,H,pediatric,Minimal interactions; additive drowsiness with CNS depressants.,Severe hepatic impairment (caution); known hypersensitivity.,मोंटेलुकास्ट + लेवोसेटिरीज़ीन
Revital H,Multivitamins + Ginseng,Multivitamin Complex,Energy and vitality,Minimal side effects,285.0,Sun Pharmaceutical,Take after breakfast,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Supradyn,Multivitamins + Minerals,Multivitamin Complex,Overall health,Rare stomach upset,425.0,Bayer,Complete daily nutrition,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zincovit,Multivitamins + Zinc,Multivitamin + Minerals,Immunity and health,Nausea (if taken empty stomach),135.0,Apex Laboratories,Take with meals,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
T-Bact Cream,Mupirocin,Mupirocin,Skin infections,Local irritation (mild),90.0,GlaxoSmithKline,External use only,Unknown,Cream,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
T-Bact Ointment,Mupirocin,Mupirocin,Skin bacterial infection,Local irritation (mild),95.0,GlaxoSmithKline,External use only,Unknown,Ointment,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Naprosyn 250,Naproxen,Naproxen,Pain and menstrual cramps,Stomach upset; Drowsiness,48.0,Dr. Reddy's Laboratories,Take with food,250 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Niftas 100,Nitrofurantoin,Nitrofurantoin,UTI treatment,Nausea; Headache,88.0,Intas,Take with food; Avoid in late pregnancy,100 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Norflox 400,Norfloxacin,Norfloxacin,Urinary tract infections,Nausea; Headache,38.0,Cipla,Take on empty stomach,400 mg,Tablet,False,H,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
ORS-L 200ml,ORS + Zinc,Oral Rehydration + Zinc,Diarrhea in children,None significant,35.0,Generic,Use as per pediatric advice,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Oflox 200,Ofloxacin,Ofloxacin,Bacterial infections,Dizziness; Nausea,62.0,Cipla,Avoid sun exposure,200 mg,Tablet,False,H1,adult,Risk of tendon rupture; avoid with steroids if possible.,History of tendinopathy with quinolones.,
Oliza 5,Olanzapine,Olanzapine,Schizophrenia; Bipolar,Weight gain; Drowsiness,92.0,Intas,Monitor sugars and lipids,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Omeprazole 20,Omeprazole,Omeprazole,Acidity and ulcers,Diarrhea; Stomach pain,28.0,Generic,Long-term use needs doctor supervision,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Omez,Omeprazole,Omeprazole,Acidity and ulcers,Headache; Nausea,32.0,Dr. Reddy's Laboratories,Take before breakfast,Unknown,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Ondem 4,Ondansetron,Ondansetron,Nausea and vomiting,Headache; Constipation,42.0,Alkem,May cause QT prolongation,4 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
ORS Powder,Oral Rehydration Salts,ORS,Dehydration; Diarrhea support,None if taken as directed,20.0,WHO Formulation,Use safe drinking water,Unknown,Powder,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
ORS Electral,Oral Rehydration Salts,ORS,Dehydration support,None significant,22.0,FDC,Use boiled and cooled water,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Tamiflu 75,Oseltamivir,Oseltamivir,Influenza treatment,Nausea; Vomiting,485.0,Hoffmann-La Roche,Start within 48 hours,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Pan 40,Pantoprazole,Pantoprazole,Acid reflux and GERD,Dizziness; Stomach pain,38.5,Alkem Laboratories,Morning dose recommended,40 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pantoprazole 40,Pantoprazole,Pantoprazole,Acid reflux and GERD,Headache; Diarrhea,42.0,Generic,Take before meals,40 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pantocid,Pantoprazole,Pantoprazole,Acid reflux and GERD,Rare side effects,45.0,Sun Pharmaceutical,Take 30 mins before meals,Unknown,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pan-D,Pantoprazole + Domperidone,Pantoprazole + Domperidone,Acidity with nausea,Headache; Diarrhea,85.0,Alkem,Take before meals,Unknown,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Pyrigesic,Paracetamol,Paracetamol,Fever and pain relief,Rare allergic reactions,18.5,Intas Pharmaceuticals,Avoid overdose,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Metacin,Paracetamol,Paracetamol,Fever and pain relief,Minimal side effects,22.0,Mankind Pharma,Safe for most adults,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Crocin,Paracetamol,Paracetamol,Fever and pain relief,Nausea; Skin rash; Liver damage (overdose),25.5,GlaxoSmithKline,Do not exceed 4g per day; Avoid alcohol,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Dolo 650,Paracetamol,Paracetamol,Fever and pain relief,Nausea; Allergic reactions,30.0,Micro Labs,Consult doctor if pregnant; Avoid with alcohol,650 mg,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Calpol,Paracetamol,Paracetamol,Fever and pain relief for children,Rare allergic reactions,35.0,GlaxoSmithKline,Follow age-appropriate dosing,Unknown,Tablet,True,OTC,adult,Avoid duplicate acetaminophen products; caution in liver disease.,Severe hepatic impairment.,पैरासिटामोल
Sinarest-AF Drops,Paracetamol + Phenylephrine + CPM,Paracetamol + Phenylephrine + Chlorpheniramine,Cold relief for kids,Drowsiness; Irritability,35.0,Piramal,Pediatric dosing only,Unknown,Drops,False,H,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Sinarest,Paracetamol + Phenylephrine + CPM,Paracetamol + Phenylephrine + Chlorpheniramine,Cold and congestion,Drowsiness; Dry mouth,45.0,Centaur,Avoid driving if drowsy,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
D Cold Total,Paracetamol + Phenylephrine + CPM + Caffeine,Paracetamol + Phenylephrine + Chlorpheniramine + Caffeine,Cold and flu symptom relief,Drowsiness; Palpitations,62.0,Piramal,Avoid at night due to caffeine,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Betadine Ointment,Povidone Iodine,Povidone Iodine,Minor cuts and wounds,Skin irritation (rare),55.0,Win-Medicare,External use only,Unknown,Ointment,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Prednisolone 5,Prednisolone,Prednisolone,Inflammation and autoimmune conditions,Weight gain; Mood changes; High blood sugar,18.0,Generic,Do not stop suddenly,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Wysolone 5,Prednisolone,Prednisolone,Inflammation and autoimmune conditions,Osteoporosis with long-term use,22.0,Pfizer,Taper dose gradually,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Lyrica 75,Pregabalin,Pregabalin,Nerve pain; Anxiety,Dizziness; Weight gain,210.0,Pfizer,May cause drowsiness,75 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Stemetil 5,Prochlorperazine,Prochlorperazine,Nausea; Vertigo,Drowsiness; Dry mouth,32.0,Sanofi,Avoid driving,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Inderal 40,Propranolol,Propranolol,Anxiety; Migraine; HTN,Fatigue; Cold hands,45.0,Abbott,Do not stop abruptly,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Betacap 20,Propranolol LA,Propranolol,Migraine prophylaxis; Anxiety,Fatigue; Sleep disturbance,75.0,Sun Pharmaceutical,Do not stop abruptly,20 mg,Capsule,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Sat Isabgol,Psyllium Husk,Psyllium Husk,Constipation; Fiber supplement,Bloating; Gas (initial),145.0,Dabur,Drink plenty of water,Unknown,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Qutipin 50,Quetiapine,Quetiapine,Schizophrenia; Bipolar,Sedation; Weight gain,95.0,Sun Pharmaceutical,Regular psychiatric follow-up,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Rabeprazole 20,Rabeprazole,Rabeprazole,Acid reflux and GERD,Headache; Nausea,52.0,Dr. Reddy's Laboratories,Take before breakfast,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Rablet 20,Rabeprazole,Rabeprazole,Acid reflux and ulcer,Abdominal pain; Flatulence,58.0,Lupin,Short-term use unless advised,20 mg,Tablet,False,H,adult,May reduce absorption of some drugs; take before meals.,Hypersensitivity.,
Cardace 5,Ramipril,Ramipril,Blood pressure control,Cough; Hyperkalemia,65.0,Sanofi,Monitor kidney function,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ranitidine 150,Ranitidine,Ranitidine,Acidity and heartburn,Headache; Constipation,18.0,Generic,Take twice daily,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Rantac 150,Ranitidine,Ranitidine,Acidity and heartburn,Dizziness; Diarrhea,22.0,Johnson & Johnson,Can be taken with or without food,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Rantac 150 Plus,Ranitidine + Domperidone,Ranitidine + Domperidone,Acidity + nausea,Drowsiness; Diarrhea,48.0,Johnson & Johnson,Short term use only,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Rifagut 400,Rifaximin,Rifaximin,IBS-D; Traveler's diarrhea,Flatulence; Headache,285.0,Sun Pharmaceutical,Avoid if liver issues,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Sizodon 2,Risperidone,Risperidone,Schizophrenia; Bipolar,Tremors; Weight gain,58.0,Sun Pharmaceutical,Regular follow-up,2 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Rosuvastatin 10,Rosuvastatin,Rosuvastatin,High cholesterol,Muscle pain; Weakness,55.0,Generic,Monitor liver function,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Rosuvas 10,Rosuvastatin,Rosuvastatin,High cholesterol,Headache; Dizziness,62.0,Sun Pharmaceutical,Evening dose preferred,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Crestor 10,Rosuvastatin,Rosuvastatin,High cholesterol,Nausea; Muscle pain,95.0,AstraZeneca,Regular cholesterol testing,10 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Roxid 150,Roxithromycin,Roxithromycin,Respiratory infections,Nausea; Stomach pain,72.0,Alembic Pharmaceuticals,Take on empty stomach,150 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Salbutamol Inhaler,Salbutamol,Salbutamol,Asthma and bronchospasm,Tremors; Palpitations; Headache,125.0,Generic,Rescue inhaler for quick relief,Unknown,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Asthalin Inhaler,Salbutamol,Salbutamol,Asthma and bronchospasm,Nervousness; Rapid heartbeat,135.0,Cipla,Rinse mouth after use,Unknown,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ventolin Inhaler,Salbutamol,Salbutamol,Asthma and bronchospasm,Throat irritation; Muscle cramps,185.0,GlaxoSmithKline,Do not exceed prescribed dose,Unknown,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Seroflo 100,Salmeterol + Fluticasone,Salmeterol + Fluticasone,Asthma/COPD maintenance,Hoarseness; Thrush,400.0,Cipla,Not for rescue; regular use only,100/50 mcg,Inhaler,False,H,both,Avoid non-selective beta blockers; monitor with strong CYP3A4 inhibitors.,Primary treatment of status asthmaticus; acute bronchospasm.,साल्मेटेरोल + फ्लूटिकाज़ोन
Seroflo 250,Salmeterol + Fluticasone,Salmeterol + Fluticasone,Asthma/COPD maintenance,Hoarseness; Thrush,490.0,Cipla,Not for rescue; regular use only,250/50 mcg,Inhaler,False,H,both,Avoid non-selective beta blockers; monitor with strong CYP3A4 inhibitors.,Primary treatment of status asthmaticus; acute bronchospasm.,साल्मेटेरोल + फ्लूटिकाज़ोन
Seroflo 250 Inhaler,Salmeterol + Fluticasone,Salmeterol + Fluticasone,Asthma/COPD maintenance,Hoarseness; Thrush,520.0,Cipla,Do not use as rescue inhaler,250 mg,Inhaler,False,H,both,Avoid non-selective beta blockers; monitor with strong CYP3A4 inhibitors.,Primary treatment of status asthmaticus; acute bronchospasm.,
Seroflo 500,Salmeterol + Fluticasone,Salmeterol + Fluticasone,Asthma/COPD maintenance,Hoarseness; Thrush,640.0,Cipla,Not for rescue; regular use only,500/50 mcg,Inhaler,False,H,both,Avoid non-selective beta blockers; monitor with strong CYP3A4 inhibitors.,Primary treatment of status asthmaticus; acute bronchospasm.,साल्मेटेरोल + फ्लूटिकाज़ोन
Sertraline 50,Sertraline,Sertraline,Depression and anxiety,Nausea; Diarrhea; Sexual problems,48.0,Generic,Take with food,50 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Zoloft 50,Sertraline,Sertraline,Depression and anxiety,Insomnia; Drowsiness,95.0,Pfizer,Consistent daily timing important,50 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Simvotin 20,Simvastatin,Simvastatin,Cholesterol reduction,Muscle pain; Headache,72.0,Sun Pharmaceutical,Avoid grapefruit juice,20 mg,Tablet,False,H,adult,Avoid grapefruit; risk of myopathy with some antibiotics.,"Active liver disease, pregnancy.",
Januvia 100,Sitagliptin,Sitagliptin,Type 2 Diabetes,Nasopharyngitis; Headache,480.0,Merck,Adjust with renal impairment,100 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Eno Fruit Salt,Sodium Bicarbonate + Citric Acid + Anhydrous Sodium Carbonate,Sodium Bicarbonate + Citric Acid + Sodium Carbonate,Acidity and indigestion relief,Belching; Gas,20.0,GlaxoSmithKline,Dissolve in water before drinking,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Aldactone 25,Spironolactone,Spironolactone,Edema; Heart failure,High potassium; Breast tenderness,55.0,Pfizer,Avoid potassium-rich diet,25 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Urimax 0.4,Tamsulosin,Tamsulosin,BPH urinary symptoms,Dizziness; Ejaculation disorder,195.0,Cipla,Take after same meal daily,0.4 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Telmisartan 40,Telmisartan,Telmisartan,High blood pressure,Dizziness; Back pain,65.0,Generic,Check BP regularly,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",टेल्मिसार्टन
Telma 40,Telmisartan,Telmisartan,High blood pressure,Fatigue; Diarrhea,72.0,Glenmark,Avoid potassium supplements,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",टेल्मिसार्टन
Telma-AM,Telmisartan + Amlodipine,Telmisartan + Amlodipine,Hypertension combination,Dizziness; Swelling,115.0,Glenmark,Monitor BP regularly,Unknown,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Telma-H 40/12.5,Telmisartan + HCTZ,Telmisartan + Hydrochlorothiazide,Hypertension combo,Dizziness; Electrolyte imbalance,95.0,Glenmark,Monitor BP and electrolytes,40 mg,Tablet,False,H,adult,Avoid in pregnancy; monitor potassium and renal function.,"Pregnancy, history of angioedema.",
Tenebite 20,Teneligliptin,Teneligliptin,Type 2 Diabetes,Headache; Hypoglycemia (with SU),165.0,Glenmark,Regular glucose monitoring,20 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Sebifin 250,Terbinafine,Terbinafine,Fungal skin/nail infections,Taste disturbance; GI upset,165.0,Cipla,Liver monitoring for long use,250 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Tiniba 500,Tinidazole,Tinidazole,Parasitic infections,Dizziness; Nausea,35.0,Cipla,Avoid alcohol for 72 hours,500 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Tiova Inhaler,Tiotropium,Tiotropium,COPD maintenance,Dry mouth; Constipation,395.0,Cipla,Use daily as directed,Unknown,Inhaler,False,H,both,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Tramazac 50,Tramadol,Tramadol,Pain management,Dizziness; Dry mouth,62.0,Zydus Cadila,Use only as prescribed,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Ultram 50,Tramadol,Tramadol,Moderate to severe pain,Drowsiness; Nausea; Constipation,68.0,Johnson & Johnson,May cause dependence,50 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Galvus 50,Vildagliptin,Vildagliptin,Type 2 Diabetes,Headache; Dizziness,285.0,Novartis,Monitor liver function,50 mg,Tablet,False,H,adult,Hold with contrast studies; avoid in severe renal impairment.,"Severe renal impairment, lactic acidosis risk.",
Becosules,Vitamin B Complex + C,B Complex + C,Vitamin deficiency,Urine discoloration (harmless),32.0,Pfizer,Safe for long-term use,Unknown,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Celin 500,Vitamin C (Ascorbic Acid),Ascorbic Acid,Vitamin C supplement,Stomach upset (rare),28.0,GlaxoSmithKline,Do not exceed recommended dose,500 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Evion 400,Vitamin E (Tocopherol),Tocopherol,Vitamin E deficiency,Nausea (rare),42.0,Merck,Avoid high doses with anticoagulants,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Otrivin Nasal Drops,Xylometazoline,Xylometazoline,Nasal congestion,Rebound congestion (overuse),72.0,Novartis,Use max 3-5 days,Unknown,Drops,True,OTC,pediatric,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zinc Tablet 50,Zinc Sulfate,Zinc Sulfate,Zinc deficiency,Nausea (if empty stomach),32.0,Generic,Take after meals,50 mg,Tablet,True,OTC,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
